Title,Date
"Vikings: Staffel 2: Auge um Auge","23.07.24"
"Vikings: Staffel 2: Verrat","23.07.24"
"Vikings: Staffel 2: Invasion","22.07.24"
"Vikings: Staffel 2: Bruderkrieg","21.07.24"
"Vikings: Staffel 1: Veränderungen","21.07.24"
"Vikings: Staffel 1: Das Opfer","21.07.24"
"Vikings: Staffel 1: Ein Vermögen","21.07.24"
"Vikings: Staffel 1: Das Begräbnis","21.07.24"
"Vikings: Staffel 1: Der Überfall","21.07.24"
"Vikings: Staffel 1: Der Prozess","20.07.24"
"Vikings: Staffel 1: Enteignet","19.07.24"
"Vikings: Staffel 1: Der Zorn der Wikinger","19.07.24"
"Vikings: Staffel 1: Initiationsriten","19.07.24"
"The Rookie: Staffel 2: Undercover","08.07.24"
"Rick and Morty: Staffel 1: School of Rick","27.06.24"
"Rick and Morty: Staffel 7: Karneval der Angst","27.06.24"
"Rick and Morty: Staffel 7: Mort: Ragnarick","27.06.24"
"Rick and Morty: Staffel 7: Der Aufstand der Nummericons: Der Film","27.06.24"
"Rick and Morty: Staffel 7: Wet Kuat Amortican Summer","27.06.24"
"Rick and Morty: Staffel 7: Die Rickmort Show","27.06.24"
"Rick and Morty: Staffel 7: Zurück in die Unendlichkeit","27.06.24"
"Rick and Morty: Staffel 7: That’s Amorte","27.06.24"
"Rick and Morty: Staffel 7: Air Force Wong","27.06.24"
"Rick and Morty: Staffel 7: Ein Jerrick kommt immer zu zweit","27.06.24"
"Rick and Morty: Staffel 7: Das erstaunliche Leben des Mr. Kakapopoloch","27.06.24"
"Top Gun","26.06.24"
"Dexter: Staffel 8: Abschied","07.06.24"
"Dexter: Staffel 8: Vor dem Sturm","07.06.24"
"Dexter: Staffel 8: Fehler der Vergangenheit","07.06.24"
"Dexter: Staffel 8: Zwei Welten","06.06.24"
"Dexter: Staffel 8: Nachhilfestunden","06.06.24"
"Dexter: Staffel 8: Meister und Schüler","05.06.24"
"Dexter: Staffel 8: Spiegelbilder","04.06.24"
"Dexter: Staffel 8: Familientherapie","03.06.24"
"Dexter: Staffel 8: Mutter des Kodex","03.06.24"
"Dexter: Staffel 8: Narben","03.06.24"
"Dexter: Staffel 8: Buch der Psychopathen","02.06.24"
"Dexter: Staffel 8: Verloren","01.06.24"
"8 Mile","31.05.24"
"Dexter: Staffel 7: Entscheidung einer Schwester","30.05.24"
"Dexter: Staffel 7: Entscheidung eines Bruders","30.05.24"
"Dexter: Staffel 7: Feuerteufel","30.05.24"
"Dexter: Staffel 7: Ein letzter Freundschaftsdienst","30.05.24"
"Dexter: Staffel 7: Argentinien","29.05.24"
"Dexter: Staffel 7: Chemie","28.05.24"
"Dexter: Staffel 7: Die Sehnsucht nach Schnee","27.05.24"
"Dexter: Staffel 7: Kampfansage","26.05.24"
"Dexter: Staffel 7: In Rauch aufgelöst","26.05.24"
"The OA: Teil I: Kapitel 1: Rückkehr","26.05.24"
"Dexter: Staffel 7: Todeslabyrinth","26.05.24"
"Dexter: Staffel 7: Auf Schritt und Tritt","26.05.24"
"Dexter: Staffel 7: Erschütternde Wahrheit","25.05.24"
"Dexter: Staffel 6: Die Säule des Lichts","25.05.24"
"Dexter: Staffel 6: Der Feuersee","25.05.24"
"Dexter: Staffel 6: Neue Jünger","23.05.24"
"Dexter: Staffel 6: Die Schalen des Zorns","22.05.24"
"Dexter: Staffel 6: Die Hure Babylon","22.05.24"
"Dexter: Staffel 6: Die Reise nach Nebraska","21.05.24"
"Dexter: Staffel 6: Am Scheideweg","20.05.24"
"Dexter: Staffel 6: Der Engel des Todes","20.05.24"
"Dexter: Staffel 6: Die Reiter der Apokalypse","20.05.24"
"Dexter: Staffel 6: Die Rückkehr der Zahnfee","20.05.24"
"Dexter: Staffel 6: Der gute Hirte","20.05.24"
"Dexter: Staffel 6: Sieben Schlangen","20.05.24"
"Dexter: Staffel 5: Das Eine und das Andere","19.05.24"
"Dexter: Staffel 5: Verliebte Rächer","19.05.24"
"Dexter: Staffel 5: Nummer 13","19.05.24"
"Dexter: Staffel 5: Kein guter Tag","19.05.24"
"Dexter: Staffel 5: Hol’s dir!","19.05.24"
"Dexter: Staffel 5: Das Licht der Dunkelheit","19.05.24"
"Dexter: Staffel 5: Alles ist illuminiert","19.05.24"
"Dexter: Staffel 5: Gier nach Vergeltung","19.05.24"
"Dexter: Staffel 5: Der Mörder und das Biest","19.05.24"
"Dexter: Staffel 5: Das Gefühl der Leere","19.05.24"
"Dexter: Staffel 5: Auf der Fährte","19.05.24"
"Dexter: Staffel 5: Auf Wiedersehen, Rita Bennett!","18.05.24"
"Dexter: Staffel 4: Die Schlinge zieht sich zu","18.05.24"
"Dexter: Staffel 4: Hallo, Dexter Morgan","18.05.24"
"Dexter: Staffel 4: Die Unschuld eines Kindes","18.05.24"
"Dexter: Staffel 4: Das Fest der Dankbarkeit","18.05.24"
"Dexter: Staffel 4: Bereuen ist menschlich","18.05.24"
"Dexter: Staffel 4: Models, Morde, Missverständnisse","18.05.24"
"Eine Frage der Ehre","17.05.24"
"Dexter: Staffel 4: Familienväter","17.05.24"
"Dexter: Staffel 4: Dirty Harry","13.05.24"
"Dexter: Staffel 4: Sucht nach Freiheit","13.05.24"
"Dexter: Staffel 4: Vandalenjagd","12.05.24"
"Dexter: Staffel 4: Hängepartie","11.05.24"
"Dexter: Staffel 4: Ein Leben wie im Traum","11.05.24"
"Lucy","10.05.24"
"Dexter: Staffel 3: Überlebenswille","09.05.24"
"Dexter: Staffel 3: Adios, Amigo","09.05.24"
"Dexter: Staffel 3: Ende einer Freundschaft","09.05.24"
"Dexter: Staffel 3: Die Geister, die ich rief …","08.05.24"
"Dexter: Staffel 3: Schmetterlingseffekt","06.05.24"
"Dexter: Staffel 3: Ein Akt der Gnade","05.05.24"
"Dexter: Staffel 3: Teamwork","04.05.24"
"Dexter: Staffel 3: Abstecher nach Bimini","02.05.24"
"Dexter: Staffel 3: Rollenspiele","02.05.24"
"Dexter: Staffel 3: Jagdinstinkt ","02.05.24"
"Dexter: Staffel 3: Auf der Suche nach Freebo","30.04.24"
"Dexter: Staffel 3: Ein neuer Kodex","30.04.24"
"Dexter: Staffel 2: Amour fou","29.04.24"
"Dexter: Staffel 2: Entscheidungen","29.04.24"
"Dexter: Staffel 2: Die Wahrheit über Harry","28.04.24"
"Dexter: Staffel 2: Widerstand ist zwecklos","28.04.24"
"Dexter: Staffel 2: Falsches Spiel","28.04.24"
"Dexter: Staffel 2: Das Manifest des Metzgers","28.04.24"
"Dexter: Staffel 2: Dex, Lügen und Video","27.04.24"
"Dexter: Staffel 2: Superhelden","27.04.24"
"Dexter: Staffel 2: Hitzewelle","27.04.24"
"Dexter: Staffel 2: Der düstere Begleiter","27.04.24"
"Dexter: Staffel 2: Einfach loslassen","26.04.24"
"Malcolm & Marie","25.04.24"
"Dexter: Staffel 2: Verflucht","25.04.24"
"Dexter: Staffel 1: Blutsbrüder","25.04.24"
"Dexter: Staffel 1: Tödliche Weihnachten","24.04.24"
"Dexter: Staffel 1: Rot wie Blut","24.04.24"
"Dexter: Staffel 1: Spuren der Vergangenheit","23.04.24"
"Dexter: Staffel 1: Therapiestunden","22.04.24"
"Dexter: Staffel 1: Freundeskreis","21.04.24"
"Dexter: Staffel 1: Ein Sturm zieht auf","20.04.24"
"Dexter: Staffel 1: Das perfekte Paar","19.04.24"
"Dexter: Staffel 1: Mit Hand und Fuß","17.04.24"
"Dexter: Staffel 1: Cherry On Ice","16.04.24"
"Dexter: Staffel 1: Eiskalt erwischt","15.04.24"
"Dexter: Staffel 1: Dexter","15.04.24"
"Yellowstone: Staffel 3: Die Welt ist lila","03.04.24"
"Yellowstone: Staffel 3: Gemeiner als das Böse","03.04.24"
"Yellowstone: Staffel 3: Ich habe heute einen Mann getötet","03.04.24"
"Yellowstone: Staffel 3: Die Prügel","03.04.24"
"Yellowstone: Staffel 3: Alles umsonst","03.04.24"
"Yellowstone: Staffel 3: Cowboys und Träumer","03.04.24"
"Yellowstone: Staffel 3: Der Sommer ist vorbei","03.04.24"
